"route","day","tonnes"
"501 Route 1 (NEW)","2018-10-14",7.84
"502 Route 2 (NEW)","2018-10-27",10.52
"503 Route 3 (NEW)","2018-11-09",4.42
"502 Route 2 (NEW)","2018-11-10",9.34
"502 Route 2 (NEW)","2018-11-13",14.66
"189 Missed Bins","2018-11-20",3.24
"502 Route 2 (NEW)","2018-11-27",12.76
"505 Route 5 (NEW)","2018-11-28",5.64
"503 Route 3 (NEW)","2018-12-14",21.82
"189 Missed Bins","2018-12-20",10.98
"503 Route 3 (NEW)","2019-01-08",22.2
"189 Missed Bins","2019-01-12",10.4
"508 Route 8 (NEW)","2019-01-23",13.98
"502 Route 2 (NEW)","2019-01-27",11.68
"603 Route 3A (NEW)","2019-01-19",6.24
"602 Route 2A (NEW)","2018-11-15",3.12
"602 Route 2A (NEW)","2018-11-28",2.08
"609 Route 9A (NEW)","2018-12-05",0.22
"608 Route 8A (NEW)","2018-12-13",0.86
"601 Route 1A (NEW)","2018-12-14",2.74
"608 Route 8A (NEW)","2018-12-16",0.32
"605 Route 5A (NEW)","2019-01-07",3.46
"604 Route 4A (NEW)","2019-01-26",1.42
"609 Route 9A (NEW)","2019-01-26",0.36
"609 Route 9A (NEW)","2019-01-27",0.3
"604 Route 4A (NEW)","2018-12-03",5.92
"505 Route 5 (NEW)","2018-12-03",9.44
"508 Route 8 (NEW)","2018-12-05",2.32
"505 Route 5 (NEW)","2018-12-23",5.2
"503 Route 3 (NEW)","2019-02-07",19.4
"508 Route 8 (NEW)","2019-02-19",8.7
"502 Route 2 (NEW)","2019-02-22",18.1
"189 Missed Bins","2019-03-13",2.64
"503 Route 3 (NEW)","2019-03-20",13.54
"502 Route 2 (NEW)","2019-04-15",15.46
"603 Route 3A (NEW)","2019-02-14",11.28
"601 Route 1A (NEW)","2019-03-12",8.92
"604 Route 4A (NEW)","2019-03-12",11.74
"605 Route 5A (NEW)","2019-03-16",3.94
"601 Route 1A (NEW)","2019-02-20",2.36
"604 Route 4A (NEW)","2019-03-21",2.06
"604 Route 4A (NEW)","2019-04-05",1.56
"605 Route 5A (NEW)","2019-04-20",1.24
"601 Route 1A (NEW)","2019-02-28",5.08
"605 Route 5A (NEW)","2019-03-30",3.46
"501 Route 1 (NEW)","2019-02-25",9.44
"508 Route 8 (NEW)","2019-03-02",1.56
"501 Route 1 (NEW)","2019-03-27",5.02
"505 Route 5 (NEW)","2019-05-18",8.74
"505 Route 5 (NEW)","2019-06-01",0.52
"508 Route 8 (NEW)","2019-06-14",4.1
"190 Rt 1","2019-06-16",7.86
"504 Route 4 (NEW )","2019-06-26",14.48
"602 Route 2A (NEW)","2019-06-09",7.26
"608 Route 8A (NEW)","2019-07-05",0.36
"609 Route 9A (NEW)","2019-04-23",0.04
"603 Route 3A (NEW)","2019-05-01",2.1
"603 Route 3A (NEW)","2019-05-18",1.58
"603 Route 3A (NEW)","2019-06-15",1.42
"605 Route 5A (NEW)","2019-06-24",2.18
"601 Route 1A (NEW)","2019-06-25",3.96
