qid,P5991,qal585,qal459,qal828,qal828,S854,#
Q208271,56720.49U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Inverclyde council area's 2017 CO2e amount"""
Q207268,53570.86U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Clackmannanshire council area's 2018 CO2e amount"""
Q206926,141057.01U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set North Ayrshire council area's 2018 CO2e amount"""
Q207268,55348.62U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set Clackmannanshire council area's 2017 CO2e amount"""
Q80967,37897.05U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Outer Hebrides council area's 2018 CO2e amount"""
Q211091,189505.22U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Renfrewshire council area's 2018 CO2e amount"""
Q206926,137512.34U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set North Ayrshire council area's 2017 CO2e amount"""
Q211889,130754.58U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set East Dunbartonshire council area's 2017 CO2e amount"""
Q209135,119535.95U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set East Ayrshire council area's 2017 CO2e amount"""
Q208121,102739.24U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set West Dunbartonshire council area's 2018 CO2e amount"""
Q207257,112099.24U57084755,+2017-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/378875/2017-household-waste-summary-tables-final.xlsx""","""Set East Lothian council area's 2017 CO2e amount"""
Q189912,308192.95U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Aberdeenshire council area's 2018 CO2e amount"""
Q216802,154954.43U57084755,+2018-00-00T00:00:00Z/9,Q791801,Q180388,Q259059,"""https://www.sepa.org.uk/media/469611/2018-household-waste-data-tables.xlsx""","""Set Falkirk council area's 2018 CO2e amount"""
