Local Authority	Waste type	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Generated	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Prepared for reuse	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Organics recycled	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Recovered by co-incineration	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Managed by other methods	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Disposed by incineration	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled	Landfilled
Angus	Metallic wastes, ferrous	0	224	0	0	27.12	0	22.14	0	0	0							0	231.57	61.1	242.51	461.16	412.45	457.86	442.04	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Metallic wastes, mixed ferrous and non-ferrous	933.86	725.86	976.28	863.31	715.72	806.98	815.81	740.31	0	0							936.06	728.26	976.28	868.81	730.3	842.11	828.67	1476.3	0	0							0	0							0	0							481.72	154.55	167.33	415.81	360.51	322.31	357.21		0	0							0	0						
Angus	Metallic wastes, non-ferrous	0	90.76	0	0	15.74	0	0	0	0	0							0	94.27	22.3	124.13	247.55	216.97	204.09	210.58	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Mineral waste from construction and demolition	1936.07	2309.84	173.08	2128.2	2168.68	2176.56	1915.55	1780.02	0	0							1936.07	2309.84	173.08	2128.2	2168.68	2176.56	1915.55	1780.02	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Mixed and undifferentiated materials	8.28	260.08	1410.93	6558.01	11056.76	11108.65	10906.98	10774.96	0	0							8.28	19.48							0	0							0	0		99	383.36				0	0							0	0	0		0	0	0.01		0	0					644.95		0	0	70.26	80.94	23.17	24.94	23.18	23.69
Angus	Paper and cardboard wastes	5002.6	3479.52	1907.79	2003.08	826.92	702.03	655.01	581.27	0	0							5002.6	3622.44	2581.65	5446.93	6950.8	6576.83	6626.16	6247.99	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Plastic wastes	474.5	482.79	416.31	166.72	0	27.58	3.88	0	0	0							474.5	511.15	644.27	897.07	1203.27	1066.93	1098.97	950.44	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Rubber wastes	15.74	6.82	8.86	2.93	2.22	6.24	4.72	4.4	0	0							15.74	6.82	8.86	2.93	2.22	6.24	4.72	10.31	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Soils	0	0						76	0	0							0	0						76	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Textile wastes	249.62	236.15	162.66	150.4	131.84	95.92	91.05	99.99	0	0							249.62	236.15	162.66	150.4	131.84	95.92	91.05	99.99	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Used oils	13.13	12.07	8.5	15.02	17.12	15.69	14.51	14.14	0	0							13.13	12.07	8.5	15.02	17.12	15.69	14.51	14.14	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Vegetal wastes	10669.65	10320.78	12245.84	11323.16	11134.34	10205.87	9549.9	8390.9	0	0							0	0							10655.98	10320.78	12245.84	11323.16	11134.34	10205.87	9549.9	8390.9	0	0							0	0							0	0							0	0							0	0						
Angus	Wood wastes	2812.07	2580.52	2623.35	2934.37	2971.47	3155.56	3060.41	3010.14	0	0							2812.07	2580.52	2623.35	2934.37	2971.47	3155.56	3060.41	3010.14	0	0							0	0							0	0							0	0							0	0							0	0						
Angus	Subtotal	62199.62	60803.41	54258.21	58892.11	57608.76	58846.71	56277.78	54619.26	0	0				357.63	150.39	16.54	15335.83	13965.99	10781.47	16944.14	18930.09	18752.96	17838.75	18020.89	10655.98	10422.52	12634.26	13934.98	15172.01	14260.35	13082.39	11852.7	0	0		99	383.36	102.74	65.71		0	0							603.36	154.55	1338.64	2105.88	1911.42	2493.97	2117.62	4257.48	12879.19	3409.84	4239.06	10844.68	8514.96	7609.17	9656.33	18088.64	22724.83	32846.46	25264.78	14963.41	12696.93	15269.9	13366.62	2383.01
Argyll and Bute	Animal and mixed food waste	680	647	568.05	606.93	584	625	697.6	645	0	0							0	0	10.05	0.93	1		1.6		680	647	558	606	583	0	696	645	0	0							0	0							0	0				625			0	0							0	0						
Argyll and Bute	Batteries and accumulators wastes	5	3	3		6		1	4	0	0							5	3	3		6		1	4	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Chemical wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Combustion wastes	0	0			0	0	0	0	0	0							0	0							0	0							0	0			106.89				0	0							0	0							0	0							0	0			64.61	93.11	91.2	111.39
Argyll and Bute	Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)	1009	970	879	929	915	1023	1083	907	0	0							1009	970	879	929	915	1023	1083	907	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Discarded vehicles	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Glass wastes	2273	2397	2543	2448.48	2508	2532	2890	3188.53	0	0							2273	2397	2543	2448.48	2508	2532	2890	3188.53	0	0							0	0							0	0							0	0						0	0	0							0	0						12.8
Argyll and Bute	Health care and biological wastes	0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Household and similar wastes	32746	33375	31601.95	34072.07	32686	33514	29664	27834.02	0	0			179	46	75	156	136	157	130.95	178.07	0	125	163	0	0	0		0	0	0	0	0	0	0			45.6	373.4			0	0							6484.17	5557.91	6282.97	6710.34	6887.45	5937.97	5696.93	5593.67	0	0							26126	27660.08	25188.03	27183.66	25192.43	27185.4	23447.85	21966.56
Argyll and Bute	Metallic wastes, ferrous	121	134	130	127.03	58	54	139	43	0	0							121	134	130	149.82	207.14	210.75	315.72	197.83	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Metallic wastes, mixed ferrous and non-ferrous	1051	1132	972	1091.68	1073	1185	1185	999	0	0							1051	1132	972	1091.68	1110.24	1217.68	1225.28	1057.52	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Metallic wastes, non-ferrous	33	35	40	38.71	28	18	40	29	0	0							33	35	40	43.46	68.85	87.35	142.41	119.27	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Mineral waste from construction and demolition	613	544	1273	643	1068	2566	761	618	0	0						407	613	544	1273	643	1068	2566	761	211	0	0							0	0							0	0							0	0							0	0							0	0						
Argyll and Bute	Mixed and undifferentiated materials	2	0		450	4392	4847	5196	5423.89	0	0							2	0			2		2		0	0							0	0			106.89		362.88	447.37	0	0							0	0		0	0	3.8	0		0	0							0	0		8.54	36.09	36.09	38.96	6.83
